director,quote,score,title
导演: 姜文 Wen Jiang,一场华丽的意淫。,8.8,阳光灿烂的日子
导演: 王家卫 Kar Wai Wong,寂寞没有期限。,8.7,重庆森林
导演: M·奈特·沙马兰 M. Night Shyamalan,深入内心的恐怖，出人意料的结局。,8.8,第六感
导演: 托马斯·温特伯格 Thomas Vinterberg,人言可畏。,9.1,狩猎
导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee,我是一个演员。,8.7,喜剧之王
导演: 亚当·艾略特 Adam Elliot,你是我最好的朋友，你是我唯一的朋友 。,8.9,玛丽和马克思
导演: 大卫·芬奇 David Fincher,年度最佳date movie。,8.7,消失的爱人
导演: 中岛哲也 Tetsuya Nakashima,没有一人完全善，也没有一人完全恶。,8.7,告白
导演: 森淳一 Junichi Mori,那些静得只能听见呼吸的日子里，你明白孤独即生活。,9.0,小森林 夏秋篇
导演: 蒂姆·波顿 Tim Burton,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,8.8,大鱼
导演: 杨德昌 Edward Yang,我们都曾经是一一。,9.0,一一
导演: 文牧野 Muye Wen,,9.0,我不是药神
导演: 卢卡·瓜达尼诺 Luca Guadagnino,沉醉在电影的情感和视听氛围中无法自拔。,8.8,请以你的名字呼唤我
导演: 姜炯哲 Hyeong-Cheol Kang,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,8.8,阳光姐妹淘
导演: 理查德·林克莱特 Richard Linklater,缘分是个连绵词，最美不过一瞬。,8.8,爱在黎明破晓前
导演: 刘镇伟 Jeffrey Lau,百看不厌。 ,8.7,射雕英雄传之东成西就
导演: 陈可辛 Peter Chan,相逢只要一瞬间，等待却像是一辈子。,8.8,甜蜜蜜
导演: 近藤喜文 Yoshifumi Kondo,少女情怀总是诗。,8.9,侧耳倾听
导演: 今敏 Satoshi Kon,梦的勾结。,9.0,红辣椒
导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,和谐的生活离不开摸头与被摸头。,8.7,驯龙高手
导演: 程小东 Siu-Tung Ching,两张绝世的脸。 ,8.7,倩女幽魂
导演: 奉俊昊 Joon-ho Bong,关于连环杀人悬案的集体回忆。,8.8,杀人回忆
导演: 阿兰·葛斯彭纳 Alain Gsponer,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,9.1,海蒂和爷爷
导演: 托尼·凯耶 Tony Kaye,穷尽一生，我们要学会的，不过是彼此拥抱。,8.8,超脱
导演: 金秉祐 Byeong-woo Kim,恐怖分子的“秋菊打官司”。,8.8,恐怖直播
导演: 李焕庆 Hwan-kyeong Lee,《我是山姆》的《美丽人生》。,8.8,7号房的礼物
导演: 北野武 Takeshi Kitano,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,8.8,菊次郎的夏天
导演: 森淳一 Junichi Mori,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,9.0,小森林 冬春篇
导演: 理查德·林克莱特 Richard Linklater,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,8.8,爱在日落黄昏时
导演: 大卫·叶茨 David Yates,10年的完美句点。,8.7,哈利·波特与死亡圣器(下)
导演: 宫崎骏 Hayao Miyazaki,动画片的圣经。,8.8,风之谷
导演: 史蒂文·斯皮尔伯格 Steven Spielberg,有时候幸福需要等一等。 ,8.7,幸福终点站
导演: 克里斯托弗·诺兰 Christopher Nolan,诺兰就是保证。,8.7,蝙蝠侠：黑暗骑士崛起
导演: 大森贵弘 Takahiro Omori,触不到的恋人。,8.8,萤火之森
导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,被上帝抛弃了的上帝之城。,8.9,上帝之城
导演: 米林宏昌 Hiromasa Yonebayashi,曾经的那段美好会沉淀为一辈子的记忆。,8.8,借东西的小人阿莉埃蒂
导演: 李力持 Lik-Chi Lee,华太师是黄霑，吴镇宇四大才子之一。,8.6,唐伯虎点秋香
导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,Balalala~~~,8.6,超能陆战队
导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,Mr. I Don't Care其实也有Care的时候。,8.5,神偷奶爸
导演: 是枝裕和 Hirokazu Koreeda,我的平常生活就是他人的幸福。,9.1,无人知晓
导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,不要给它起名字，起了名字就有感情了。,8.7,怪兽电力公司
导演: 詹姆斯·温 James Wan,真相就在眼前。,8.7,电锯惊魂
导演: 李·昂克里奇 Lee Unkrich,跨度十五年的欢乐与泪水。,8.8,玩具总动员3
导演: 罗启锐 Alex Law,岁月流逝，来日可追。,8.7,岁月神偷
导演: 梅尔·吉布森 Mel Gibson,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,8.7,血战钢锯岭
导演: 保罗·格林格拉斯 Paul Greengrass,像吃了苏打饼一样干脆的电影。,8.8,谍影重重3
导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,老少皆宜，这就是好莱坞动画的魅力。,8.7,疯狂原始人
导演: 吴宇森 John Woo,英雄泪短，兄弟情长。 ,8.7,英雄本色
导演: 黑泽明 Akira Kurosawa,时代悲歌。,9.2,七武士
导演: 李安 Ang Lee,中国家庭的喜怒哀乐忍。,8.9,喜宴
导演: 高畑勋 Isao Takahata,幸福是生生不息，却难以触及的远。 ,8.7,萤火虫之墓
导演: 王家卫 Kar Wai Wong,电影诗。,8.6,东邪西毒
导演: 理查德·柯蒂斯 Richard Curtis,爱，是个动词。,8.6,真爱至上
导演: 乔·怀特 Joe Wright,爱是摈弃傲慢与偏见之后的曙光。,8.6,傲慢与偏见
导演: 理查德·柯蒂斯 Richard Curtis,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,8.7,时空恋旅人
导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,8.6,贫民窟的百万富翁
导演: 达伦·阿罗诺夫斯基 Darren Aronofsky,黑暗之美。,8.5,黑天鹅
导演: 克里斯托弗·诺兰 Christopher Nolan,一个针管引发的血案。,8.6,记忆碎片
导演: 忻钰坤 Yukun Xin,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,8.7,心迷宫
导演: 吴宇森 John Woo,香港浪漫主义警匪动作片的巅峰之作。,8.8,纵横四海
导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,任何信念的力量，都无法改变命运。,8.8,教父3
导演: 达米安·斯兹弗隆 Damián Szifron,始于荒诞，止于更荒诞。,8.8,荒蛮故事
导演: 克林特·伊斯特伍德 Clint Eastwood,坏人的好总是比好人的好来得更感人。,9.1,完美的世界
导演: 让-马克·瓦雷 Jean-Marc Vallée,Jared Leto的腿比女人还美！,8.7,达拉斯买家俱乐部
导演: 巴瑞·莱文森 Barry Levinson,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,8.7,雨人
导演: 马丁·麦克唐纳 Martin McDonagh,怼天怼地，你走后，她与世界为敌。,8.7,三块广告牌
导演: 王家卫 Kar Wai Wong,偷情本没有这样美。,8.6,花样年华
导演: 昆汀·塔伦蒂诺 Quentin Tarantino,热血沸腾，那个低俗、性感的无耻混蛋又来了。,8.7,被解救的姜戈
导演: 特瑞·乔治 Terry George,当这个世界闭上双眼，他却敞开了怀抱。,8.9,卢旺达饭店
导演: 新海诚 Makoto Shinkai,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,8.4,你的名字。
导演: 杰茜·尼尔森 Jessie Nelson,爱并不需要智商 。,8.9,我是山姆
导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,愿我们都不用长大，每一座城堡都能永远存在。,8.7,头脑特工队
导演: 肯尼斯·罗纳根 Kenneth Lonergan,我们都有权利不与自己的过去和解。,8.6,海边的曼彻斯特
导演: 藤森雅也 Masaya Fujimori,感情不分食草或者食肉。,8.8,你看起来好像很好吃
导演: 严定宪 Dingxian Yan / 王树忱 Shuchen Wang,想你时你在闹海。,9.0,哪吒闹海
导演: 尼克·卡索维茨 Nick Cassavetes,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,8.5,恋恋笔记本
导演: 瑞奇·莫尔 Rich Moore,迪士尼和皮克斯拿错剧本的产物。,8.7,无敌破坏王
导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,松鼠才是角儿。,8.5,冰川时代
导演: 郭柯 Ke Guo,有一些东西不应该被遗忘。,8.7,二十二
导演: 杰拉尔·乌里 Gérard Oury,永远看不腻的喜剧。,8.9,虎口脱险
导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,大海啊，不全是水。,9.1,海洋
导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,骨灰级歌舞片。,9.0,雨中曲
导演: 今敏 Satoshi Kon,好的剧本是，就算你猜到了结局也猜不到全部。,8.9,未麻的部屋
导演: 莫滕·泰杜姆 Morten Tyldum,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,8.6,模仿游戏
导演: 达米恩·查泽雷 Damien Chazelle,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,8.7,爆裂鼓手
导演: 汉内斯·赫尔姆 Hannes Holm,惠及一生的美丽。,8.8,一个叫欧维的男人决定去死
导演: Seijirô Kôyama,养狗三日，便会对你终其一生。,9.1,忠犬八公物语
导演: 爱德华·兹威克 Edward Zwick,传奇，不是每个人都可以拥有。,8.8,燃情岁月
导演: 史蒂文·斯皮尔伯格 Steven Spielberg,对爱的执着，可以超越一切。,8.6,人工智能
导演: 王树忱 Shuchen Wang / 钱运达 Yunda Qian,传奇的年代，醉人的童话。,9.2,天书奇谭
导演: 伦尼·阿伯拉罕森 Lenny Abrahamson,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,8.8,房间
导演: 宫崎骏 Hayao Miyazaki,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,8.6,魔女宅急便
导演: 细田守 Mamoru Hosoda,爱上未来的你。 ,8.6,穿越时空的少女
导演: 克里斯托弗·史密斯 Christopher Smith,不要企图在重复中寻找已经失去的爱。,8.4,恐怖游轮
导演: Andy Wachowski / Larry Wachowski,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,8.7,黑客帝国3：矩阵革命
导演: 是枝裕和 Hirokazu Koreeda,是枝裕和的家庭习作。,8.7,海街日记
